date,away.team,away.score,home.score,home.team,url
2014-09-04,Arizona,26,23,UTSA,http://sports.yahoo.com/ncaaf/arizona-wildcats-utsa-roadrunners-201409042560/
2014-09-05,Pittsburgh,30,20,Boston Coll.,http://sports.yahoo.com/ncaaf/pittsburgh-panthers-boston-college-eagles-201409050010/
2014-09-05,Washington St.,13,24,Nevada,http://sports.yahoo.com/ncaaf/washington-state-cougars-nevada-wolf-pack-201409050039/
2014-09-06,Howard,25,38,Rutgers,http://sports.yahoo.com/ncaaf/howard-bison-rutgers-scarlet-knights-201409060013/
2014-09-06,Kansas St.,32,28,Iowa St.,http://sports.yahoo.com/ncaaf/kansas-state-wildcats-iowa-state-cyclones-201409060019/
2014-09-06,McNeese St.,24,31,Nebraska,http://sports.yahoo.com/ncaaf/mcneese-state-cowboys-nebraska-cornhuskers-201409060023/
2014-09-06,W. Kentucky,34,42,Illinois,http://sports.yahoo.com/ncaaf/western-kentucky-hilltoppers-illinois-fighting-illini-201409060026/
2014-09-06,Akron,3,21,Penn St.,http://sports.yahoo.com/ncaaf/akron-zips-penn-state-nittany-lions-201409060034/
2014-09-06,Cent. Michigan,38,17,Purdue,http://sports.yahoo.com/ncaaf/central-michigan-chippewas-purdue-boilermakers-201409060035/
2014-09-06,Western Ill.,3,37,Wisconsin,http://sports.yahoo.com/ncaaf/western-illinois-leathernecks-wisconsin-badgers-201409060036/
2014-09-06,Missouri,49,24,Toledo,http://sports.yahoo.com/ncaaf/missouri-tigers-toledo-rockets-201409060055/
2014-09-06,Arkansas St.,19,34,Tennessee,http://sports.yahoo.com/ncaaf/arkansas-state-red-wolves-tennessee-volunteers-201409060071/
2014-09-06,Florida Atlantic,0,41,Alabama,http://sports.yahoo.com/ncaaf/florida-atlantic-owls-alabama-crimson-tide-201409060073/
2014-09-06,Buffalo,39,47,Army,http://sports.yahoo.com/ncaaf/buffalo-bulls-army-black-knights-201409060097/
2014-09-06,Oklahoma,52,7,Tulsa,http://sports.yahoo.com/ncaaf/oklahoma-sooners-tulsa-golden-hurricane-201409060107/
2014-09-06,SMU,6,43,North Texas,http://sports.yahoo.com/ncaaf/smu-mustangs-north-texas-mean-green-201409060182/
2014-09-06,Stony Brook,16,19,Connecticut,http://sports.yahoo.com/ncaaf/stony-brook-seawolves-connecticut-huskies-201409060202/
2014-09-06,S. Carolina St.,7,73,Clemson,http://sports.yahoo.com/ncaaf/south-carolina-state-bulldogs-clemson-tigers-201409060001/
2014-09-06,Navy,31,24,Temple,http://sports.yahoo.com/ncaaf/navy-midshipmen-temple-owls-201409060015/
2014-09-06,South Alabama,23,13,Kent St.,http://sports.yahoo.com/ncaaf/south-alabama-jaguars-kent-state-golden-flashes-201409060052/
2014-09-06,UAB,34,47,Mississippi St.,http://sports.yahoo.com/ncaaf/uab-blazers-mississippi-state-bulldogs-201409060078/
2014-09-06,N. Mex. St.,34,31,Georgia St.,http://sports.yahoo.com/ncaaf/new-mexico-state-aggies-georgia-state-panthers-201409062558/
2014-09-06,Sacramento St.,14,55,California,http://sports.yahoo.com/ncaaf/sacramento-state-hornets-california-golden-bears-201409060059/
2014-09-06,Eastern Wash.,52,59,Washington,http://sports.yahoo.com/ncaaf/eastern-washington-eagles-washington-huskies-201409060065/
2014-09-06,Fresno St.,27,59,Utah,http://sports.yahoo.com/ncaaf/fresno-state-bulldogs-utah-utes-201409060094/
2014-09-06,Colorado,41,38,UMass,http://sports.yahoo.com/ncaaf/colorado-buffaloes-massachusetts-minutemen-201409060204/
2014-09-06,Richmond,13,45,Virginia,http://sports.yahoo.com/ncaaf/richmond-spiders-virginia-cavaliers-201409060008/
2014-09-06,Missouri St.,23,40,Oklahoma St.,http://sports.yahoo.com/ncaaf/missouri-state-bears-oklahoma-state-cowboys-201409060025/
2014-09-06,Ball St.,13,17,Iowa,http://sports.yahoo.com/ncaaf/ball-state-cardinals-iowa-hawkeyes-201409060028/
2014-09-06,Middle Tenn. St.,24,35,Minnesota,http://sports.yahoo.com/ncaaf/middle-tennessee-blue-raiders-minnesota-golden-gophers-201409060031/
2014-09-06,Northern Illinois,23,15,Northwestern,http://sports.yahoo.com/ncaaf/northern-illinois-huskies-northwestern-wildcats-201409060032/
2014-09-06,Virginia Military,7,48,Bowling Green,http://sports.yahoo.com/ncaaf/vmi-keydets-bowling-green-falcons-201409060049/
2014-09-06,E. Kentucky,17,10,Miami (OH),http://sports.yahoo.com/ncaaf/eastern-kentucky-colonels-miami-oh-redhawks-201409060053/
2014-09-06,USC,13,10,Stanford,http://sports.yahoo.com/ncaaf/usc-trojans-stanford-cardinal-201409060063/
2014-09-06,Ohio,3,20,Kentucky,http://sports.yahoo.com/ncaaf/ohio-bobcats-kentucky-wildcats-201409060069/
2014-09-06,Maryland,24,17,South Florida,http://sports.yahoo.com/ncaaf/maryland-terrapins-south-florida-bulls-201409061019/
2014-09-06,East. Michigan,0,65,Florida,http://sports.yahoo.com/ncaaf/eastern-michigan-eagles-florida-gators-201409060067/
2014-09-06,Nicholls,7,73,Arkansas,http://sports.yahoo.com/ncaaf/nicholls-colonels-arkansas-razorbacks-201409060074/
2014-09-06,Georgia Tech,38,21,Tulane,http://sports.yahoo.com/ncaaf/georgia-tech-yellow-jackets-tulane-green-wave-201409060106/
