date,away.team,away.score,home.score,home.team,url
2014-09-06,Mississippi,41,3,Vanderbilt,http://sports.yahoo.com/ncaaf/ole-miss-rebels-vanderbilt-commodores-201409060072/
2014-09-06,Old Dominion,34,46,N.C. State,http://sports.yahoo.com/ncaaf/old-dominion-monarchs-north-carolina-state-wolfpack-201409060007/
2014-09-06,Campbell,0,66,Appalachian St.,http://sports.yahoo.com/ncaaf/campbell-fighting-camels-appalachian-state-mountaineers-201409060171/
2014-09-06,Savannah St.,9,83,Georgia Southern,http://sports.yahoo.com/ncaaf/savannah-state-tigers-georgia-southern-eagles-201409060175/
2014-09-06,Wagner,3,34,Florida Intl.,http://sports.yahoo.com/ncaaf/wagner-seahawks-fiu-golden-panthers-201409062307/
2014-09-06,Gardner-Webb,7,23,Wake Forest,http://sports.yahoo.com/ncaaf/gardner-webb-runnin-bulldogs-wake-forest-demon-deacons-201409060009/
2014-09-06,Michigan St.,27,46,Oregon,http://sports.yahoo.com/ncaaf/michigan-state-spartans-oregon-ducks-201409060060/
2014-09-06,Florida A&M,7,41,Miami (FL),http://sports.yahoo.com/ncaaf/florida-am-rattlers-miami-fl-hurricanes-201409060011/
2014-09-06,SE Missouri St.,28,34,Kansas,http://sports.yahoo.com/ncaaf/southeast-missouri-state-redhawks-kansas-jayhawks-201409060020/
2014-09-06,Louisiana Tech,48,20,La Lafayet.,http://sports.yahoo.com/ncaaf/louisiana-tech-bulldogs-louisiana-lafayette-ragin-cajuns-201409060045/
2014-09-06,East Carolina,23,33,South Carolina,http://sports.yahoo.com/ncaaf/east-carolina-pirates-south-carolina-gamecocks-201409060070/
2014-09-06,San Jose St.,13,59,Auburn,http://sports.yahoo.com/ncaaf/san-jose-state-spartans-auburn-tigers-201409060075/
2014-09-06,Arizona St.,58,23,New Mexico,http://sports.yahoo.com/ncaaf/arizona-state-sun-devils-new-mexico-lobos-201409060092/
2014-09-06,Murray St.,21,66,Louisville,http://sports.yahoo.com/ncaaf/murray-state-racers-louisville-cardinals-201409060100/
2014-09-06,Idaho,31,38,LA Monroe,http://sports.yahoo.com/ncaaf/idaho-vandals-louisiana-monroe-warhawks-201409060103/
2014-09-06,Alcorn St.,20,26,Southern Miss,http://sports.yahoo.com/ncaaf/alcorn-state-braves-southern-miss-golden-eagles-201409060105/
2014-09-06,Rhode Island,7,48,Marshall,http://sports.yahoo.com/ncaaf/rhode-island-rams-marshall-thundering-herd-201409060176/
2014-09-06,Duke,34,17,Troy,http://sports.yahoo.com/ncaaf/duke-blue-devils-troy-trojans-201409060222/
2014-09-06,Citadel,12,37,Florida St.,http://sports.yahoo.com/ncaaf/citadel-bulldogs-florida-state-seminoles-201409060003/
2014-09-06,Towson,0,54,West Virginia,http://sports.yahoo.com/ncaaf/towson-tigers-west-virginia-mountaineers-201409060017/
2014-09-06,Sam Houston St.,0,56,LSU,http://sports.yahoo.com/ncaaf/sam-houston-state-bearkats-lsu-tigers-201409060076/
2014-09-06,N'western St.,6,70,Baylor,http://sports.yahoo.com/ncaaf/northwestern-state-demons-baylor-bears-201409060079/
2014-09-06,BYU,41,7,Texas,http://sports.yahoo.com/ncaaf/byu-cougars-texas-longhorns-201409060083/
2014-09-06,Lamar,3,73,Texas A&M,http://sports.yahoo.com/ncaaf/lamar-cardinals-texas-am-aggies-201409060084/
2014-09-06,Michigan,0,31,Notre Dame,http://sports.yahoo.com/ncaaf/michigan-wolverines-notre-dame-fighting-irish-201409060104/
2014-09-06,S. Diego St.,27,31,N. Carolina,http://sports.yahoo.com/ncaaf/san-diego-state-aztecs-north-carolina-tar-heels-201409060006/
2014-09-06,Virginia Tech,35,21,Ohio St.,http://sports.yahoo.com/ncaaf/virginia-tech-hokies-ohio-state-buckeyes-201409060033/
2014-09-06,Idaho St.,20,40,Utah St.,http://sports.yahoo.com/ncaaf/idaho-state-bengals-utah-state-aggies-201409060046/
2014-09-06,Grambling St.,0,47,Houston,http://sports.yahoo.com/ncaaf/grambling-state-tigers-houston-cougars-201409060080/
2014-09-06,Northern Colorado,12,13,UNLV,http://sports.yahoo.com/ncaaf/northern-colorado-bears-unlv-rebels-201409060040/
2014-09-06,Memphis,35,42,UCLA,http://sports.yahoo.com/ncaaf/memphis-tigers-ucla-bruins-201409060064/
2014-09-06,Air Force,13,17,Wyoming,http://sports.yahoo.com/ncaaf/air-force-falcons-wyoming-cowboys-201409060096/
2014-09-06,Colorado St.,24,37,Boise St.,http://sports.yahoo.com/ncaaf/colorado-state-rams-boise-state-broncos-201409060112/
2014-09-06,Oregon St.,38,30,Hawaii,http://sports.yahoo.com/ncaaf/oregon-state-beavers-hawaii-rainbow-warriors-201409060091/
2014-09-06,Texas Tech,30,26,UTEP,http://sports.yahoo.com/ncaaf/texas-tech-red-raiders-utep-miners-201409060095/
