away.score,away.team,date,home.score,home.team,uid,url
24,Ohio,2014-11-25,21,Miami (OH),ncaaf.g.201411250053,http://sports.yahoo.com/ncaaf/ohio-bobcats-miami-oh-redhawks-201411250053/
48,TCU,2014-11-27,10,Texas,ncaaf.g.201411270083,http://sports.yahoo.com/ncaaf/tcu-horned-frogs-texas-longhorns-201411270083/
23,LSU,2014-11-27,17,Texas A&M,ncaaf.g.201411270084,http://sports.yahoo.com/ncaaf/lsu-tigers-texas-am-aggies-201411270084/
31,Northern Illinois,2014-11-28,21,W. Michigan,ncaaf.g.201411280056,http://sports.yahoo.com/ncaaf/northern-illinois-huskies-western-michigan-broncos-201411280056/
37,Nebraska,2014-11-28,34,Iowa,ncaaf.g.201411280028,http://sports.yahoo.com/ncaaf/nebraska-cornhuskers-iowa-hawkeyes-201411280028/
35,Houston,2014-11-28,9,SMU,ncaaf.g.201411280082,http://sports.yahoo.com/ncaaf/houston-cougars-smu-mustangs-201411280082/
67,W. Kentucky,2014-11-28,66,Marshall,ncaaf.g.201411280176,http://sports.yahoo.com/ncaaf/western-kentucky-hilltoppers-marshall-thundering-herd-201411280176/
16,UCF,2014-11-28,0,South Florida,ncaaf.g.201411281019,http://sports.yahoo.com/ncaaf/ucf-knights-south-florida-bulls-201411281019/
41,Ball St.,2014-11-28,24,Bowling Green,ncaaf.g.201411280049,http://sports.yahoo.com/ncaaf/ball-state-cardinals-bowling-green-falcons-201411280049/
52,Toledo,2014-11-28,16,East. Michigan,ncaaf.g.201411280051,http://sports.yahoo.com/ncaaf/toledo-rockets-eastern-michigan-eagles-201411280051/
24,Akron,2014-11-28,27,Kent St.,ncaaf.g.201411280052,http://sports.yahoo.com/ncaaf/akron-zips-kent-state-golden-flashes-201411280052/
41,Buffalo,2014-11-28,21,UMass,ncaaf.g.201411280204,http://sports.yahoo.com/ncaaf/buffalo-bulls-massachusetts-minutemen-201411280204/
14,Arkansas,2014-11-28,21,Missouri,ncaaf.g.201411280022,http://sports.yahoo.com/ncaaf/arkansas-razorbacks-missouri-tigers-201411280022/
42,Navy,2014-11-28,40,South Alabama,ncaaf.g.201411282549,http://sports.yahoo.com/ncaaf/navy-midshipmen-south-alabama-jaguars-201411282549/
35,Arizona St.,2014-11-28,42,Arizona,ncaaf.g.201411280057,http://sports.yahoo.com/ncaaf/arizona-state-sun-devils-arizona-wildcats-201411280057/
31,Stanford,2014-11-28,10,UCLA,ncaaf.g.201411280064,http://sports.yahoo.com/ncaaf/stanford-cardinal-ucla-bruins-201411280064/
24,Colorado St.,2014-11-28,27,Air Force,ncaaf.g.201411280087,http://sports.yahoo.com/ncaaf/colorado-state-rams-air-force-falcons-201411280087/
20,Virginia,2014-11-28,24,Virginia Tech,ncaaf.g.201411280016,http://sports.yahoo.com/ncaaf/virginia-cavaliers-virginia-tech-hokies-201411280016/
49,East Carolina,2014-11-28,32,Tulsa,ncaaf.g.201411280107,http://sports.yahoo.com/ncaaf/east-carolina-pirates-tulsa-golden-hurricane-201411280107/
17,South Carolina,2014-11-29,35,Clemson,ncaaf.g.201411290001,http://sports.yahoo.com/ncaaf/south-carolina-gamecocks-clemson-tigers-201411290001/
14,Cincinnati,2014-11-29,6,Temple,ncaaf.g.201411290015,http://sports.yahoo.com/ncaaf/cincinnati-bearcats-temple-owls-201411290015/
37,West Virginia,2014-11-29,24,Iowa St.,ncaaf.g.201411290019,http://sports.yahoo.com/ncaaf/west-virginia-mountaineers-iowa-state-cyclones-201411290019/
16,Purdue,2014-11-29,23,Indiana,ncaaf.g.201411290027,http://sports.yahoo.com/ncaaf/purdue-boilermakers-indiana-hoosiers-201411290027/
47,Illinois,2014-11-29,33,Northwestern,ncaaf.g.201411290032,http://sports.yahoo.com/ncaaf/illinois-fighting-illini-northwestern-wildcats-201411290032/
28,Michigan,2014-11-29,42,Ohio St.,ncaaf.g.201411290033,http://sports.yahoo.com/ncaaf/michigan-wolverines-ohio-state-buckeyes-201411290033/
31,Rice,2014-11-29,76,Louisiana Tech,ncaaf.g.201411290038,http://sports.yahoo.com/ncaaf/rice-owls-louisiana-tech-bulldogs-201411290038/
30,Georgia Tech,2014-11-29,24,Georgia,ncaaf.g.201411290068,http://sports.yahoo.com/ncaaf/georgia-tech-yellow-jackets-georgia-bulldogs-201411290068/
40,Kentucky,2014-11-29,44,Louisville,ncaaf.g.201411290100,http://sports.yahoo.com/ncaaf/kentucky-wildcats-louisville-cardinals-201411290100/
31,Old Dominion,2014-11-29,28,Florida Atlantic,ncaaf.g.201411292294,http://sports.yahoo.com/ncaaf/old-dominion-monarchs-florida-atlantic-owls-201411292294/
27,North Texas,2014-11-29,34,UTSA,ncaaf.g.201411292560,http://sports.yahoo.com/ncaaf/north-texas-mean-green-utsa-roadrunners-201411292560/
35,N.C. State,2014-11-29,7,N. Carolina,ncaaf.g.201411290006,http://sports.yahoo.com/ncaaf/north-carolina-state-wolfpack-north-carolina-tar-heels-201411290006/
7,Syracuse,2014-11-29,28,Boston Coll.,ncaaf.g.201411290010,http://sports.yahoo.com/ncaaf/syracuse-orange-boston-college-eagles-201411290010/
42,La Lafayet.,2014-11-29,23,Troy,ncaaf.g.201411290222,http://sports.yahoo.com/ncaaf/louisiana-lafayette-ragin-cajuns-troy-trojans-201411290222/
38,Utah,2014-11-29,34,Colorado,ncaaf.g.201411290018,http://sports.yahoo.com/ncaaf/utah-utes-colorado-buffaloes-201411290018/
