away.score,away.team,date,home.score,home.team,uid,url
28,Idaho,2014-11-29,45,Appalachian St.,ncaaf.g.201411290171,http://sports.yahoo.com/ncaaf/idaho-vandals-appalachian-state-mountaineers-201411290171/
54,Texas St.,2014-11-29,31,Georgia St.,ncaaf.g.201411292558,http://sports.yahoo.com/ncaaf/texas-state-bobcats-georgia-state-panthers-201411292558/
35,N. Mex. St.,2014-11-29,68,Arkansas St.,ncaaf.g.201411290037,http://sports.yahoo.com/ncaaf/new-mexico-state-aggies-arkansas-state-red-wolves-201411290037/
30,Wyoming,2014-11-29,36,New Mexico,ncaaf.g.201411290092,http://sports.yahoo.com/ncaaf/wyoming-cowboys-new-mexico-lobos-201411290092/
19,Florida,2014-11-29,24,Florida St.,ncaaf.g.201411290003,http://sports.yahoo.com/ncaaf/florida-gators-florida-state-seminoles-201411290003/
41,Rutgers,2014-11-29,38,Maryland,ncaaf.g.201411290005,http://sports.yahoo.com/ncaaf/rutgers-scarlet-knights-maryland-terrapins-201411290005/
34,Michigan St.,2014-11-29,10,Penn St.,ncaaf.g.201411290034,http://sports.yahoo.com/ncaaf/michigan-state-spartans-penn-state-nittany-lions-201411290034/
24,Minnesota,2014-11-29,34,Wisconsin,ncaaf.g.201411290036,http://sports.yahoo.com/ncaaf/minnesota-golden-gophers-wisconsin-badgers-201411290036/
14,Notre Dame,2014-11-29,49,USC,ncaaf.g.201411290062,http://sports.yahoo.com/ncaaf/notre-dame-fighting-irish-usc-trojans-201411290062/
17,Mississippi St.,2014-11-29,31,Mississippi,ncaaf.g.201411290077,http://sports.yahoo.com/ncaaf/mississippi-state-bulldogs-ole-miss-rebels-201411290077/
48,Baylor,2014-11-29,46,Texas Tech,ncaaf.g.201411290086,http://sports.yahoo.com/ncaaf/baylor-bears-texas-tech-red-raiders-201411290086/
7,San Jose St.,2014-11-29,38,S. Diego St.,ncaaf.g.201411290093,http://sports.yahoo.com/ncaaf/san-jose-state-spartans-san-diego-state-aztecs-201411290093/
45,UAB,2014-11-29,24,Southern Miss,ncaaf.g.201411290105,http://sports.yahoo.com/ncaaf/uab-blazers-southern-miss-golden-eagles-201411290105/
13,Kansas,2014-11-29,51,Kansas St.,ncaaf.g.201411290021,http://sports.yahoo.com/ncaaf/kansas-jayhawks-kansas-state-wildcats-201411290021/
24,Tennessee,2014-11-29,17,Vanderbilt,ncaaf.g.201411290072,http://sports.yahoo.com/ncaaf/tennessee-volunteers-vanderbilt-commodores-201411290072/
10,Connecticut,2014-11-29,41,Memphis,ncaaf.g.201411290101,http://sports.yahoo.com/ncaaf/connecticut-huskies-memphis-tigers-201411290101/
42,BYU,2014-11-29,35,California,ncaaf.g.201411290059,http://sports.yahoo.com/ncaaf/byu-cougars-california-golden-bears-201411290059/
16,LA Monroe,2014-11-29,22,Georgia Southern,ncaaf.g.201411290175,http://sports.yahoo.com/ncaaf/louisiana-monroe-warhawks-georgia-southern-eagles-201411290175/
21,Wake Forest,2014-11-29,41,Duke,ncaaf.g.201411290002,http://sports.yahoo.com/ncaaf/wake-forest-demon-deacons-duke-blue-devils-201411290002/
35,Pittsburgh,2014-11-29,23,Miami (FL),ncaaf.g.201411290011,http://sports.yahoo.com/ncaaf/pittsburgh-panthers-miami-fl-hurricanes-201411290011/
21,Hawaii,2014-11-29,28,Fresno St.,ncaaf.g.201411290090,http://sports.yahoo.com/ncaaf/hawaii-rainbow-warriors-fresno-state-bulldogs-201411290090/
21,Middle Tenn. St.,2014-11-29,24,UTEP,ncaaf.g.201411290095,http://sports.yahoo.com/ncaaf/middle-tennessee-blue-raiders-utep-miners-201411290095/
44,Auburn,2014-11-29,55,Alabama,ncaaf.g.201411290073,http://sports.yahoo.com/ncaaf/auburn-tigers-alabama-crimson-tide-201411290073/
47,Oregon,2014-11-29,19,Oregon St.,ncaaf.g.201411290061,http://sports.yahoo.com/ncaaf/oregon-ducks-oregon-state-beavers-201411290061/
19,Utah St.,2014-11-29,50,Boise St.,ncaaf.g.201411290112,http://sports.yahoo.com/ncaaf/utah-state-aggies-boise-state-broncos-201411290112/
49,Nevada,2014-11-29,27,UNLV,ncaaf.g.201411290040,http://sports.yahoo.com/ncaaf/nevada-wolf-pack-unlv-rebels-201411290040/
31,Washington,2014-11-29,13,Washington St.,ncaaf.g.201411290066,http://sports.yahoo.com/ncaaf/washington-huskies-washington-state-cougars-201411290066/
