away.score,away.team,date,home.score,home.team,uid,url
34,La Lafayet.,2014-10-14,10,Texas St.,ncaaf.g.201410140185,http://sports.yahoo.com/ncaaf/louisiana-lafayette-ragin-cajuns-texas-state-bobcats-201410140185/
16,Virginia Tech,2014-10-16,21,Pittsburgh,ncaaf.g.201410160012,http://sports.yahoo.com/ncaaf/virginia-tech-hokies-pittsburgh-panthers-201410160012/
29,Utah,2014-10-16,23,Oregon St.,ncaaf.g.201410160061,http://sports.yahoo.com/ncaaf/utah-utes-oregon-state-beavers-201410160061/
27,Fresno St.,2014-10-17,37,Boise St.,ncaaf.g.201410170112,http://sports.yahoo.com/ncaaf/fresno-state-bulldogs-boise-state-broncos-201410170112/
10,Temple,2014-10-17,31,Houston,ncaaf.g.201410170080,http://sports.yahoo.com/ncaaf/temple-owls-houston-cougars-201410170080/
31,Iowa,2014-10-18,38,Maryland,ncaaf.g.201410180005,http://sports.yahoo.com/ncaaf/iowa-hawkeyes-maryland-terrapins-201410180005/
30,Syracuse,2014-10-18,7,Wake Forest,ncaaf.g.201410180009,http://sports.yahoo.com/ncaaf/syracuse-orange-wake-forest-demon-deacons-201410180009/
27,Baylor,2014-10-18,41,West Virginia,ncaaf.g.201410180017,http://sports.yahoo.com/ncaaf/baylor-bears-west-virginia-mountaineers-201410180017/
31,Kansas St.,2014-10-18,30,Oklahoma,ncaaf.g.201410180024,http://sports.yahoo.com/ncaaf/kansas-state-wildcats-oklahoma-sooners-201410180024/
38,Purdue,2014-10-18,39,Minnesota,ncaaf.g.201410180031,http://sports.yahoo.com/ncaaf/purdue-boilermakers-minnesota-golden-gophers-201410180031/
20,UTSA,2014-10-18,27,Louisiana Tech,ncaaf.g.201410180038,http://sports.yahoo.com/ncaaf/utsa-roadrunners-louisiana-tech-bulldogs-201410180038/
10,Furman,2014-10-18,41,South Carolina,ncaaf.g.201410180070,http://sports.yahoo.com/ncaaf/furman-paladins-south-carolina-gamecocks-201410180070/
38,South Florida,2014-10-18,30,Tulsa,ncaaf.g.201410180107,http://sports.yahoo.com/ncaaf/south-florida-bulls-tulsa-golden-hurricane-201410180107/
13,Tulane,2014-10-18,20,UCF,ncaaf.g.201410180210,http://sports.yahoo.com/ncaaf/tulane-green-wave-ucf-knights-201410180210/
38,W. Kentucky,2014-10-18,45,Florida Atlantic,ncaaf.g.201410182294,http://sports.yahoo.com/ncaaf/western-kentucky-hilltoppers-florida-atlantic-owls-201410182294/
13,Virginia,2014-10-18,20,Duke,ncaaf.g.201410180002,http://sports.yahoo.com/ncaaf/virginia-cavaliers-duke-blue-devils-201410180002/
26,W. Michigan,2014-10-18,14,Bowling Green,ncaaf.g.201410180049,http://sports.yahoo.com/ncaaf/western-michigan-broncos-bowling-green-falcons-201410180049/
20,Akron,2014-10-18,23,Ohio,ncaaf.g.201410180054,http://sports.yahoo.com/ncaaf/akron-zips-ohio-bobcats-201410180054/
14,East. Michigan,2014-10-18,36,UMass,ncaaf.g.201410180204,http://sports.yahoo.com/ncaaf/eastern-michigan-eagles-massachusetts-minutemen-201410180204/
53,Appalachian St.,2014-10-18,14,Troy,ncaaf.g.201410180222,http://sports.yahoo.com/ncaaf/appalachian-state-mountaineers-troy-trojans-201410180222/
17,Clemson,2014-10-18,13,Boston Coll.,ncaaf.g.201410180010,http://sports.yahoo.com/ncaaf/clemson-tigers-boston-college-eagles-201410180010/
56,Michigan St.,2014-10-18,17,Indiana,ncaaf.g.201410180027,http://sports.yahoo.com/ncaaf/michigan-state-spartans-indiana-hoosiers-201410180027/
17,Rutgers,2014-10-18,56,Ohio St.,ncaaf.g.201410180033,http://sports.yahoo.com/ncaaf/rutgers-scarlet-knights-ohio-state-buckeyes-201410180033/
32,Ball St.,2014-10-18,29,Cent. Michigan,ncaaf.g.201410180050,http://sports.yahoo.com/ncaaf/ball-state-cardinals-central-michigan-chippewas-201410180050/
17,Army,2014-10-18,39,Kent St.,ncaaf.g.201410180052,http://sports.yahoo.com/ncaaf/army-black-knights-kent-state-golden-flashes-201410180052/
36,UCLA,2014-10-18,34,California,ncaaf.g.201410180059,http://sports.yahoo.com/ncaaf/ucla-bruins-california-golden-bears-201410180059/
0,Texas A&M,2014-10-18,59,Alabama,ncaaf.g.201410180073,http://sports.yahoo.com/ncaaf/texas-am-aggies-alabama-crimson-tide-201410180073/
41,Cincinnati,2014-10-18,3,SMU,ncaaf.g.201410180082,http://sports.yahoo.com/ncaaf/cincinnati-bearcats-smu-mustangs-201410180082/
