away.score,away.team,date,home.score,home.team,uid,url
21,Kansas,2014-10-18,34,Texas Tech,ncaaf.g.201410180086,http://sports.yahoo.com/ncaaf/kansas-jayhawks-texas-tech-red-raiders-201410180086/
31,New Mexico,2014-10-18,35,Air Force,ncaaf.g.201410180087,http://sports.yahoo.com/ncaaf/new-mexico-lobos-air-force-falcons-201410180087/
18,N.C. State,2014-10-18,30,Louisville,ncaaf.g.201410180100,http://sports.yahoo.com/ncaaf/north-carolina-state-wolfpack-louisville-cardinals-201410180100/
22,UAB,2014-10-18,34,Middle Tenn. St.,ncaaf.g.201410180152,http://sports.yahoo.com/ncaaf/uab-blazers-middle-tennessee-blue-raiders-201410180152/
45,Georgia,2014-10-18,32,Arkansas,ncaaf.g.201410180074,http://sports.yahoo.com/ncaaf/georgia-bulldogs-arkansas-razorbacks-201410180074/
9,Oklahoma St.,2014-10-18,42,TCU,ncaaf.g.201410180085,http://sports.yahoo.com/ncaaf/oklahoma-state-cowboys-tcu-horned-frogs-201410180085/
27,San Jose St.,2014-10-18,20,Wyoming,ncaaf.g.201410180096,http://sports.yahoo.com/ncaaf/san-jose-state-spartans-wyoming-cowboys-201410180096/
41,Miami (OH),2014-10-18,51,Northern Illinois,ncaaf.g.201410180042,http://sports.yahoo.com/ncaaf/miami-oh-redhawks-northern-illinois-huskies-201410180042/
17,N. Mex. St.,2014-10-18,29,Idaho,ncaaf.g.201410180114,http://sports.yahoo.com/ncaaf/new-mexico-state-aggies-idaho-vandals-201410180114/
28,Colorado,2014-10-18,56,USC,ncaaf.g.201410180062,http://sports.yahoo.com/ncaaf/colorado-buffaloes-usc-trojans-201410180062/
45,Marshall,2014-10-18,13,Florida Intl.,ncaaf.g.201410182307,http://sports.yahoo.com/ncaaf/marshall-thundering-herd-fiu-golden-panthers-201410182307/
43,Georgia Tech,2014-10-18,48,N. Carolina,ncaaf.g.201410180006,http://sports.yahoo.com/ncaaf/georgia-tech-yellow-jackets-north-carolina-tar-heels-201410180006/
42,Missouri,2014-10-18,13,Florida,ncaaf.g.201410180067,http://sports.yahoo.com/ncaaf/missouri-tigers-florida-gators-201410180067/
3,Tennessee,2014-10-18,34,Mississippi,ncaaf.g.201410180077,http://sports.yahoo.com/ncaaf/tennessee-volunteers-ole-miss-rebels-201410180077/
13,Utah St.,2014-10-18,16,Colorado St.,ncaaf.g.201410180089,http://sports.yahoo.com/ncaaf/utah-state-aggies-colorado-state-rams-201410180089/
30,Southern Miss,2014-10-18,20,North Texas,ncaaf.g.201410180182,http://sports.yahoo.com/ncaaf/southern-miss-golden-eagles-north-texas-mean-green-201410180182/
38,Nebraska,2014-10-18,17,Northwestern,ncaaf.g.201410180032,http://sports.yahoo.com/ncaaf/nebraska-cornhuskers-northwestern-wildcats-201410180032/
3,Kentucky,2014-10-18,41,LSU,ncaaf.g.201410180076,http://sports.yahoo.com/ncaaf/kentucky-wildcats-lsu-tigers-201410180076/
27,Georgia St.,2014-10-18,30,South Alabama,ncaaf.g.201410182549,http://sports.yahoo.com/ncaaf/georgia-state-panthers-south-alabama-jaguars-201410182549/
27,Notre Dame,2014-10-18,31,Florida St.,ncaaf.g.201410180003,http://sports.yahoo.com/ncaaf/notre-dame-fighting-irish-florida-state-seminoles-201410180003/
20,Washington,2014-10-18,45,Oregon,ncaaf.g.201410180060,http://sports.yahoo.com/ncaaf/washington-huskies-oregon-ducks-201410180060/
45,Iowa St.,2014-10-18,48,Texas,ncaaf.g.201410180083,http://sports.yahoo.com/ncaaf/iowa-state-cyclones-texas-longhorns-201410180083/
42,Nevada,2014-10-18,35,BYU,ncaaf.g.201410180088,http://sports.yahoo.com/ncaaf/nevada-wolf-pack-byu-cougars-201410180088/
10,Stanford,2014-10-18,26,Arizona St.,ncaaf.g.201410180058,http://sports.yahoo.com/ncaaf/stanford-cardinal-arizona-state-sun-devils-201410180058/
10,Hawaii,2014-10-18,20,S. Diego St.,ncaaf.g.201410180093,http://sports.yahoo.com/ncaaf/hawaii-rainbow-warriors-san-diego-state-aztecs-201410180093/
