away.score,away.team,date,home.score,home.team,uid,url
42,Florida St.,2014-10-30,31,Louisville,ncaaf.g.201410300100,http://sports.yahoo.com/ncaaf/florida-state-seminoles-louisville-cardinals-201410300100/
10,Troy,2014-10-30,42,Georgia Southern,ncaaf.g.201410300175,http://sports.yahoo.com/ncaaf/troy-trojans-georgia-southern-eagles-201410300175/
20,Tulsa,2014-10-31,40,Memphis,ncaaf.g.201410310101,http://sports.yahoo.com/ncaaf/tulsa-golden-hurricane-memphis-tigers-201410310101/
38,Cincinnati,2014-10-31,14,Tulane,ncaaf.g.201410310106,http://sports.yahoo.com/ncaaf/cincinnati-bearcats-tulane-green-wave-201410310106/
23,Air Force,2014-11-01,6,Army,ncaaf.g.201411010097,http://sports.yahoo.com/ncaaf/air-force-falcons-army-black-knights-201411010097/
51,Duke,2014-11-01,48,Pittsburgh,ncaaf.g.201411010012,http://sports.yahoo.com/ncaaf/duke-blue-devils-pittsburgh-panthers-201411010012/
37,Wisconsin,2014-11-01,0,Rutgers,ncaaf.g.201411010013,http://sports.yahoo.com/ncaaf/wisconsin-badgers-rutgers-scarlet-knights-201411010013/
10,East Carolina,2014-11-01,20,Temple,ncaaf.g.201411010015,http://sports.yahoo.com/ncaaf/east-carolina-pirates-temple-owls-201411010015/
59,Oklahoma,2014-11-01,14,Iowa St.,ncaaf.g.201411010019,http://sports.yahoo.com/ncaaf/oklahoma-sooners-iowa-state-cyclones-201411010019/
7,Northwestern,2014-11-01,48,Iowa,ncaaf.g.201411010028,http://sports.yahoo.com/ncaaf/northwestern-wildcats-iowa-hawkeyes-201411010028/
20,Maryland,2014-11-01,19,Penn St.,ncaaf.g.201411010034,http://sports.yahoo.com/ncaaf/maryland-terrapins-penn-state-nittany-lions-201411010034/
16,LA Monroe,2014-11-01,21,Texas A&M,ncaaf.g.201411010084,http://sports.yahoo.com/ncaaf/louisiana-monroe-warhawks-texas-am-aggies-201411010084/
29,UCF,2014-11-01,37,Connecticut,ncaaf.g.201411010202,http://sports.yahoo.com/ncaaf/ucf-knights-connecticut-huskies-201411010202/
31,Rice,2014-11-01,17,Florida Intl.,ncaaf.g.201411012307,http://sports.yahoo.com/ncaaf/rice-owls-fiu-golden-panthers-201411012307/
20,N. Carolina,2014-11-01,47,Miami (FL),ncaaf.g.201411010011,http://sports.yahoo.com/ncaaf/north-carolina-tar-heels-miami-fl-hurricanes-201411010011/
33,Boston Coll.,2014-11-01,31,Virginia Tech,ncaaf.g.201411010016,http://sports.yahoo.com/ncaaf/boston-college-eagles-virginia-tech-hokies-201411010016/
38,Washington,2014-11-01,23,Colorado,ncaaf.g.201411010018,http://sports.yahoo.com/ncaaf/washington-huskies-colorado-buffaloes-201411010018/
38,Cent. Michigan,2014-11-01,7,East. Michigan,ncaaf.g.201411010051,http://sports.yahoo.com/ncaaf/central-michigan-chippewas-eastern-michigan-eagles-201411010051/
41,W. Michigan,2014-11-01,10,Miami (OH),ncaaf.g.201411010053,http://sports.yahoo.com/ncaaf/western-michigan-broncos-miami-oh-redhawks-201411010053/
24,N.C. State,2014-11-01,17,Syracuse,ncaaf.g.201411010014,http://sports.yahoo.com/ncaaf/north-carolina-state-wolfpack-syracuse-orange-201411010014/
10,W. Kentucky,2014-11-01,59,Louisiana Tech,ncaaf.g.201411010038,http://sports.yahoo.com/ncaaf/western-kentucky-hilltoppers-louisiana-tech-bulldogs-201411010038/
10,Virginia,2014-11-01,35,Georgia Tech,ncaaf.g.201411010004,http://sports.yahoo.com/ncaaf/virginia-cavaliers-georgia-tech-yellow-jackets-201411010004/
31,TCU,2014-11-01,30,West Virginia,ncaaf.g.201411010017,http://sports.yahoo.com/ncaaf/tcu-horned-frogs-west-virginia-mountaineers-201411010017/
14,Purdue,2014-11-01,35,Nebraska,ncaaf.g.201411010023,http://sports.yahoo.com/ncaaf/purdue-boilermakers-nebraska-cornhuskers-201411010023/
10,Indiana,2014-11-01,34,Michigan,ncaaf.g.201411010029,http://sports.yahoo.com/ncaaf/indiana-hoosiers-michigan-wolverines-201411010029/
