away.score,away.team,date,home.score,home.team,uid,url
38,Florida,2014-11-01,20,Georgia,ncaaf.g.201411010068,http://sports.yahoo.com/ncaaf/florida-gators-georgia-bulldogs-201411010068/
27,BYU,2014-11-01,7,Middle Tenn. St.,ncaaf.g.201411010152,http://sports.yahoo.com/ncaaf/byu-cougars-middle-tennessee-blue-raiders-201411010152/
0,Georgia St.,2014-11-01,44,Appalachian St.,ncaaf.g.201411010171,http://sports.yahoo.com/ncaaf/georgia-state-panthers-appalachian-state-mountaineers-201411010171/
10,Kentucky,2014-11-01,20,Missouri,ncaaf.g.201411010022,http://sports.yahoo.com/ncaaf/kentucky-wildcats-missouri-tigers-201411010022/
37,Texas St.,2014-11-01,29,N. Mex. St.,ncaaf.g.201411010041,http://sports.yahoo.com/ncaaf/texas-state-bobcats-new-mexico-state-aggies-201411010041/
14,Kansas,2014-11-01,60,Baylor,ncaaf.g.201411010079,http://sports.yahoo.com/ncaaf/kansas-jayhawks-baylor-bears-201411010079/
27,Houston,2014-11-01,3,South Florida,ncaaf.g.201411011019,http://sports.yahoo.com/ncaaf/houston-cougars-south-florida-bulls-201411011019/
44,USC,2014-11-01,17,Washington St.,ncaaf.g.201411010066,http://sports.yahoo.com/ncaaf/usc-trojans-washington-state-cougars-201411010066/
9,South Alabama,2014-11-01,19,La Lafayet.,ncaaf.g.201411010045,http://sports.yahoo.com/ncaaf/south-alabama-jaguars-louisiana-lafayette-ragin-cajuns-201411010045/
44,Arkansas St.,2014-11-01,28,Idaho,ncaaf.g.201411010114,http://sports.yahoo.com/ncaaf/arkansas-state-red-wolves-idaho-vandals-201411010114/
31,New Mexico,2014-11-01,28,UNLV,ncaaf.g.201411010040,http://sports.yahoo.com/ncaaf/new-mexico-lobos-unlv-rebels-201411010040/
38,Colorado St.,2014-11-01,31,San Jose St.,ncaaf.g.201411010044,http://sports.yahoo.com/ncaaf/colorado-state-rams-san-jose-state-spartans-201411010044/
28,Old Dominion,2014-11-01,42,Vanderbilt,ncaaf.g.201411010072,http://sports.yahoo.com/ncaaf/old-dominion-monarchs-vanderbilt-commodores-201411010072/
35,Auburn,2014-11-01,31,Mississippi,ncaaf.g.201411010077,http://sports.yahoo.com/ncaaf/auburn-tigers-ole-miss-rebels-201411010077/
31,UAB,2014-11-01,28,Florida Atlantic,ncaaf.g.201411012294,http://sports.yahoo.com/ncaaf/uab-blazers-florida-atlantic-owls-201411012294/
10,Arkansas,2014-11-01,17,Mississippi St.,ncaaf.g.201411010078,http://sports.yahoo.com/ncaaf/arkansas-razorbacks-mississippi-state-bulldogs-201411010078/
16,Stanford,2014-11-01,45,Oregon,ncaaf.g.201411010060,http://sports.yahoo.com/ncaaf/stanford-cardinal-oregon-ducks-201411010060/
45,Tennessee,2014-11-01,42,South Carolina,ncaaf.g.201411010070,http://sports.yahoo.com/ncaaf/tennessee-volunteers-south-carolina-gamecocks-201411010070/
34,Texas,2014-11-01,13,Texas Tech,ncaaf.g.201411010086,http://sports.yahoo.com/ncaaf/texas-longhorns-texas-tech-red-raiders-201411010086/
14,Oklahoma St.,2014-11-01,48,Kansas St.,ncaaf.g.201411010021,http://sports.yahoo.com/ncaaf/oklahoma-state-cowboys-kansas-state-wildcats-201411010021/
14,Illinois,2014-11-01,55,Ohio St.,ncaaf.g.201411010033,http://sports.yahoo.com/ncaaf/illinois-fighting-illini-ohio-state-buckeyes-201411010033/
14,Southern Miss,2014-11-01,35,UTEP,ncaaf.g.201411010095,http://sports.yahoo.com/ncaaf/southern-miss-golden-eagles-utep-miners-201411010095/
49,Notre Dame,2014-11-01,39,Navy,ncaaf.g.201411010102,http://sports.yahoo.com/ncaaf/notre-dame-fighting-irish-navy-midshipmen-201411010102/
14,S. Diego St.,2014-11-01,30,Nevada,ncaaf.g.201411010039,http://sports.yahoo.com/ncaaf/san-diego-state-aztecs-nevada-wolf-pack-201411010039/
45,California,2014-11-01,31,Oregon St.,ncaaf.g.201411010061,http://sports.yahoo.com/ncaaf/california-golden-bears-oregon-state-beavers-201411010061/
7,Arizona,2014-11-01,17,UCLA,ncaaf.g.201411010064,http://sports.yahoo.com/ncaaf/arizona-wildcats-ucla-bruins-201411010064/
45,Wyoming,2014-11-01,17,Fresno St.,ncaaf.g.201411010090,http://sports.yahoo.com/ncaaf/wyoming-cowboys-fresno-state-bulldogs-201411010090/
16,Utah,2014-11-01,19,Arizona St.,ncaaf.g.201411010058,http://sports.yahoo.com/ncaaf/utah-utes-arizona-state-sun-devils-201411010058/
35,Utah St.,2014-11-01,14,Hawaii,ncaaf.g.201411010091,http://sports.yahoo.com/ncaaf/utah-state-aggies-hawaii-rainbow-warriors-201411010091/
