date,away.team,away.score,home.score,home.team,url
2014-09-25,Texas Tech,35,45,Oklahoma St.,http://sports.yahoo.com/ncaaf/texas-tech-red-raiders-oklahoma-state-cowboys-201409250025/
2014-09-25,Appalachian St.,14,34,Georgia Southern,http://sports.yahoo.com/ncaaf/appalachian-state-mountaineers-georgia-southern-eagles-201409250175/
2014-09-25,UCLA,62,27,Arizona St.,http://sports.yahoo.com/ncaaf/ucla-bruins-arizona-state-sun-devils-201409250058/
2014-09-26,Fresno St.,35,24,New Mexico,http://sports.yahoo.com/ncaaf/fresno-state-bulldogs-new-mexico-lobos-201409260092/
2014-09-26,Middle Tenn. St.,41,28,Old Dominion,http://sports.yahoo.com/ncaaf/middle-tennessee-blue-raiders-old-dominion-monarchs-201409262371/
2014-09-27,Tulane,6,31,Rutgers,http://sports.yahoo.com/ncaaf/tulane-green-wave-rutgers-scarlet-knights-201409270013/
2014-09-27,UTEP,28,58,Kansas St.,http://sports.yahoo.com/ncaaf/utep-miners-kansas-state-wildcats-201409270021/
2014-09-27,Wyoming,14,56,Michigan St.,http://sports.yahoo.com/ncaaf/wyoming-cowboys-michigan-state-spartans-201409270030/
2014-09-27,Northwestern,29,6,Penn St.,http://sports.yahoo.com/ncaaf/northwestern-wildcats-penn-state-nittany-lions-201409270034/
2014-09-27,Iowa,24,10,Purdue,http://sports.yahoo.com/ncaaf/iowa-hawkeyes-purdue-boilermakers-201409270035/
2014-09-27,South Florida,10,27,Wisconsin,http://sports.yahoo.com/ncaaf/south-florida-bulls-wisconsin-badgers-201409270036/
2014-09-27,Tennessee,32,35,Georgia,http://sports.yahoo.com/ncaaf/tennessee-volunteers-georgia-bulldogs-201409270068/
2014-09-27,Vanderbilt,7,17,Kentucky,http://sports.yahoo.com/ncaaf/vanderbilt-commodores-kentucky-wildcats-201409270069/
2014-09-27,TCU,56,0,SMU,http://sports.yahoo.com/ncaaf/tcu-horned-frogs-smu-mustangs-201409270082/
2014-09-27,Colorado St.,24,21,Boston Coll.,http://sports.yahoo.com/ncaaf/colorado-state-rams-boston-college-eagles-201409270010/
2014-09-27,W. Michigan,17,35,Virginia Tech,http://sports.yahoo.com/ncaaf/western-michigan-broncos-virginia-tech-hokies-201409270016/
