date,away.team,away.score,home.score,home.team,url
2014-09-27,Army,43,49,Yale,http://sports.yahoo.com/ncaaf/army-black-knights-yale-bulldogs-201409270134/
2014-09-27,Akron,21,10,Pittsburgh,http://sports.yahoo.com/ncaaf/akron-zips-pittsburgh-panthers-201409270012/
2014-09-27,Maryland,37,15,Indiana,http://sports.yahoo.com/ncaaf/maryland-terrapins-indiana-hoosiers-201409270027/
2014-09-27,Eastern Illinois,19,34,Ohio,http://sports.yahoo.com/ncaaf/eastern-illinois-panthers-ohio-bobcats-201409270054/
2014-09-27,Bowling Green,47,42,UMass,http://sports.yahoo.com/ncaaf/bowling-green-falcons-massachusetts-minutemen-201409270204/
2014-09-27,Florida St.,56,41,N.C. State,http://sports.yahoo.com/ncaaf/florida-state-seminoles-north-carolina-state-wolfpack-201409270007/
2014-09-27,Kent St.,13,45,Virginia,http://sports.yahoo.com/ncaaf/kent-state-golden-flashes-virginia-cavaliers-201409270008/
2014-09-27,Minnesota,30,14,Michigan,http://sports.yahoo.com/ncaaf/minnesota-golden-gophers-michigan-wolverines-201409270029/
2014-09-27,Arkansas,28,35,Texas A&M,http://sports.yahoo.com/ncaaf/arkansas-razorbacks-texas-am-aggies-201409270084/
2014-09-27,Wake Forest,10,20,Louisville,http://sports.yahoo.com/ncaaf/wake-forest-demon-deacons-louisville-cardinals-201409270100/
2014-09-27,W. Kentucky,36,27,Navy,http://sports.yahoo.com/ncaaf/western-kentucky-hilltoppers-navy-midshipmen-201409270102/
2014-09-27,Florida Intl.,34,20,UAB,http://sports.yahoo.com/ncaaf/fiu-golden-panthers-uab-blazers-201409270207/
2014-09-27,Miami (OH),27,35,Buffalo,http://sports.yahoo.com/ncaaf/miami-oh-redhawks-buffalo-bulls-201409270208/
2014-09-27,Texas,23,0,Kansas,http://sports.yahoo.com/ncaaf/texas-longhorns-kansas-jayhawks-201409270020/
2014-09-27,Colorado,56,59,California,http://sports.yahoo.com/ncaaf/colorado-buffaloes-california-golden-bears-201409270059/
2014-09-27,Stanford,20,13,Washington,http://sports.yahoo.com/ncaaf/stanford-cardinal-washington-huskies-201409270065/
2014-09-27,Louisiana Tech,17,45,Auburn,http://sports.yahoo.com/ncaaf/louisiana-tech-bulldogs-auburn-tigers-201409270075/
2014-09-27,Temple,36,10,Connecticut,http://sports.yahoo.com/ncaaf/temple-owls-connecticut-huskies-201409270202/
2014-09-27,South Alabama,34,10,Idaho,http://sports.yahoo.com/ncaaf/south-alabama-jaguars-idaho-vandals-201409270114/
2014-09-27,UTSA,37,41,Florida Atlantic,http://sports.yahoo.com/ncaaf/utsa-roadrunners-florida-atlantic-owls-201409272294/
2014-09-27,Cincinnati,28,50,Ohio St.,http://sports.yahoo.com/ncaaf/cincinnati-bearcats-ohio-state-buckeyes-201409270033/
2014-09-27,N. Carolina,35,50,Clemson,http://sports.yahoo.com/ncaaf/north-carolina-tar-heels-clemson-tigers-201409270001/
2014-09-27,Cent. Michigan,28,42,Toledo,http://sports.yahoo.com/ncaaf/central-michigan-chippewas-toledo-rockets-201409270055/
2014-09-27,Missouri,21,20,South Carolina,http://sports.yahoo.com/ncaaf/missouri-tigers-south-carolina-gamecocks-201409270070/
2014-09-27,Boise St.,14,28,Air Force,http://sports.yahoo.com/ncaaf/boise-state-broncos-air-force-falcons-201409270087/
2014-09-27,Troy,20,22,LA Monroe,http://sports.yahoo.com/ncaaf/troy-trojans-louisiana-monroe-warhawks-201409270103/
2014-09-27,Rice,41,23,Southern Miss,http://sports.yahoo.com/ncaaf/rice-owls-southern-miss-golden-eagles-201409270105/
2014-09-27,Duke,10,22,Miami (FL),http://sports.yahoo.com/ncaaf/duke-blue-devils-miami-fl-hurricanes-201409270011/
2014-09-27,N. Mex. St.,7,63,LSU,http://sports.yahoo.com/ncaaf/new-mexico-state-aggies-lsu-tigers-201409270076/
2014-09-27,Memphis,3,24,Mississippi,http://sports.yahoo.com/ncaaf/memphis-tigers-ole-miss-rebels-201409270077/
2014-09-27,Notre Dame,31,15,Syracuse,http://sports.yahoo.com/ncaaf/notre-dame-fighting-irish-syracuse-orange-201409270014/
2014-09-27,Baylor,49,28,Iowa St.,http://sports.yahoo.com/ncaaf/baylor-bears-iowa-state-cyclones-201409270019/
2014-09-27,UNLV,17,34,S. Diego St.,http://sports.yahoo.com/ncaaf/unlv-rebels-san-diego-state-aztecs-201409270093/
2014-09-27,Washington St.,28,27,Utah,http://sports.yahoo.com/ncaaf/washington-state-cougars-utah-utes-201409270094/
2014-09-27,Texas St.,37,34,Tulsa,http://sports.yahoo.com/ncaaf/texas-state-bobcats-tulsa-golden-hurricane-201409270107/
2014-09-27,Illinois,14,45,Nebraska,http://sports.yahoo.com/ncaaf/illinois-fighting-illini-nebraska-cornhuskers-201409270023/
2014-09-27,Nevada,21,10,San Jose St.,http://sports.yahoo.com/ncaaf/nevada-wolf-pack-san-jose-state-spartans-201409270044/
2014-09-27,Oregon St.,10,35,USC,http://sports.yahoo.com/ncaaf/oregon-state-beavers-usc-trojans-201409270062/
