date,away.team,away.score,home.score,home.team,url
2014-09-11,Louisiana Tech,42,21,North Texas,http://sports.yahoo.com/ncaaf/louisiana-tech-bulldogs-north-texas-mean-green-201409110182/
2014-09-11,Houston,25,33,BYU,http://sports.yahoo.com/ncaaf/houston-cougars-byu-cougars-201409110088/
2014-09-12,Toledo,34,58,Cincinnati,http://sports.yahoo.com/ncaaf/toledo-rockets-cincinnati-bearcats-201409120098/
2014-09-12,Baylor,63,21,Buffalo,http://sports.yahoo.com/ncaaf/baylor-bears-buffalo-bulls-201409120208/
2014-09-13,Georgia Southern,38,42,Georgia Tech,http://sports.yahoo.com/ncaaf/georgia-southern-eagles-georgia-tech-yellow-jackets-201409130004/
2014-09-13,West Virginia,40,37,Maryland,http://sports.yahoo.com/ncaaf/west-virginia-mountaineers-maryland-terrapins-201409130005/
2014-09-13,East Carolina,28,21,Virginia Tech,http://sports.yahoo.com/ncaaf/east-carolina-pirates-virginia-tech-hokies-201409130016/
2014-09-13,UCF,10,38,Missouri,http://sports.yahoo.com/ncaaf/ucf-knights-missouri-tigers-201409130022/
2014-09-13,Kent St.,0,66,Ohio St.,http://sports.yahoo.com/ncaaf/kent-state-golden-flashes-ohio-state-buckeyes-201409130033/
2014-09-13,Indiana,42,45,Bowling Green,http://sports.yahoo.com/ncaaf/indiana-hoosiers-bowling-green-falcons-201409130049/
2014-09-13,Syracuse,40,3,Cent. Michigan,http://sports.yahoo.com/ncaaf/syracuse-orange-central-michigan-chippewas-201409130050/
2014-09-13,UMass,31,34,Vanderbilt,http://sports.yahoo.com/ncaaf/massachusetts-minutemen-vanderbilt-commodores-201409130072/
2014-09-13,Ohio,14,44,Marshall,http://sports.yahoo.com/ncaaf/ohio-bobcats-marshall-thundering-herd-201409130176/
2014-09-13,Boise St.,38,21,Connecticut,http://sports.yahoo.com/ncaaf/boise-state-broncos-connecticut-huskies-201409130202/
2014-09-13,Pittsburgh,42,25,Florida Intl.,http://sports.yahoo.com/ncaaf/pittsburgh-panthers-fiu-golden-panthers-201409132307/
2014-09-13,Louisville,21,23,Virginia,http://sports.yahoo.com/ncaaf/louisville-cardinals-virginia-cavaliers-201409130008/
2014-09-13,Wyoming,14,48,Oregon,http://sports.yahoo.com/ncaaf/wyoming-cowboys-oregon-ducks-201409130060/
2014-09-13,Air Force,48,38,Georgia St.,http://sports.yahoo.com/ncaaf/air-force-falcons-georgia-state-panthers-201409132558/
2014-09-13,Indiana St.,27,20,Ball St.,http://sports.yahoo.com/ncaaf/indiana-state-sycamores-ball-state-cardinals-201409130048/
2014-09-13,UC Davis,21,49,Colorado St.,http://sports.yahoo.com/ncaaf/uc-davis-aggies-colorado-state-rams-201409130089/
2014-09-13,Kansas,3,41,Duke,http://sports.yahoo.com/ncaaf/kansas-jayhawks-duke-blue-devils-201409130002/
2014-09-13,Arkansas St.,20,41,Miami (FL),http://sports.yahoo.com/ncaaf/arkansas-state-red-wolves-miami-fl-hurricanes-201409130011/
2014-09-13,Iowa St.,20,17,Iowa,http://sports.yahoo.com/ncaaf/iowa-state-cyclones-iowa-hawkeyes-201409130028/
2014-09-13,Miami (OH),10,34,Michigan,http://sports.yahoo.com/ncaaf/miami-oh-redhawks-michigan-wolverines-201409130029/
2014-09-13,Georgia,35,38,South Carolina,http://sports.yahoo.com/ncaaf/georgia-bulldogs-south-carolina-gamecocks-201409130070/
2014-09-13,Arkansas,49,28,Texas Tech,http://sports.yahoo.com/ncaaf/arkansas-razorbacks-texas-tech-red-raiders-201409130086/
2014-09-13,Alabama A&M,14,41,UAB,http://sports.yahoo.com/ncaaf/alabama-am-bulldogs-uab-blazers-201409130207/
2014-09-13,N.C. State,49,17,South Florida,http://sports.yahoo.com/ncaaf/north-carolina-state-wolfpack-south-florida-bulls-201409131019/
2014-09-13,Illinois,19,44,Washington,http://sports.yahoo.com/ncaaf/illinois-fighting-illini-washington-huskies-201409130065/
2014-09-13,La Lafayet.,15,56,Mississippi,http://sports.yahoo.com/ncaaf/louisiana-lafayette-ragin-cajuns-ole-miss-rebels-201409130077/
2014-09-13,Minnesota,7,30,TCU,http://sports.yahoo.com/ncaaf/minnesota-golden-gophers-tcu-horned-frogs-201409130085/
