date,away.team,away.score,home.score,home.team,url
2014-08-30,Duquesne,28,38,Buffalo,http://sports.yahoo.com/ncaaf/duquesne-dukes-buffalo-bulls-201408300208/
2014-08-30,Hampton,28,41,Old Dominion,http://sports.yahoo.com/ncaaf/hampton-pirates-old-dominion-monarchs-201408302371/
2014-08-30,William & Mary,9,34,Virginia Tech,http://sports.yahoo.com/ncaaf/william-and-mary-tribe-virginia-tech-hokies-201408300016/
2014-08-30,Portland St.,14,29,Oregon St.,http://sports.yahoo.com/ncaaf/portland-state-vikings-oregon-state-beavers-201408300061/
2014-08-30,UC Davis,0,45,Stanford,http://sports.yahoo.com/ncaaf/uc-davis-aggies-stanford-cardinal-201408300063/
2014-08-30,Arkansas,21,45,Auburn,http://sports.yahoo.com/ncaaf/arkansas-razorbacks-auburn-tigers-201408300075/
2014-08-30,Montana,12,17,Wyoming,http://sports.yahoo.com/ncaaf/montana-grizzlies-wyoming-cowboys-201408300096/
2014-08-30,Clemson,21,45,Georgia,http://sports.yahoo.com/ncaaf/clemson-tigers-georgia-bulldogs-201408300068/
2014-08-30,Elon,13,52,Duke,http://sports.yahoo.com/ncaaf/elon-phoenix-duke-blue-devils-201408300002/
2014-08-30,Liberty,29,56,N. Carolina,http://sports.yahoo.com/ncaaf/liberty-flames-north-carolina-tar-heels-201408300006/
2014-08-30,Morgan St.,28,31,East. Michigan,http://sports.yahoo.com/ncaaf/morgan-state-bears-eastern-michigan-eagles-201408300051/
2014-08-30,Ohio,17,14,Kent St.,http://sports.yahoo.com/ncaaf/ohio-bobcats-kent-state-golden-flashes-201408300052/
2014-08-30,Louisiana Tech,16,48,Oklahoma,http://sports.yahoo.com/ncaaf/louisiana-tech-bulldogs-oklahoma-sooners-201408300024/
2014-08-30,Montana St.,10,37,Arkansas St.,http://sports.yahoo.com/ncaaf/montana-state-bobcats-arkansas-state-red-wolves-201408300037/
2014-08-30,Southern,6,45,La Lafayet.,http://sports.yahoo.com/ncaaf/southern-university-jaguars-louisiana-lafayette-ragin-cajuns-201408300045/
2014-08-30,New Hampshire,20,54,Toledo,http://sports.yahoo.com/ncaaf/new-hampshire-wildcats-toledo-rockets-201408300055/
2014-08-30,Samford,14,48,TCU,http://sports.yahoo.com/ncaaf/samford-bulldogs-tcu-horned-frogs-201408300085/
2014-08-30,Central Arkansas,35,42,Texas Tech,http://sports.yahoo.com/ncaaf/central-arkansas-bears-texas-tech-red-raiders-201408300086/
2014-08-30,Northern Arizona,7,38,S. Diego St.,http://sports.yahoo.com/ncaaf/northern-arizona-lumberjacks-san-diego-state-aztecs-201408300093/
2014-08-30,Austin Peay,0,63,Memphis,http://sports.yahoo.com/ncaaf/austin-peay-governors-memphis-tigers-201408300101/
2014-08-30,Savannah St.,7,61,Middle Tenn. St.,http://sports.yahoo.com/ncaaf/savannah-state-tigers-middle-tennessee-blue-raiders-201408300152/
2014-08-30,AR Pine Bluff,0,65,Texas St.,http://sports.yahoo.com/ncaaf/arkansas-pine-bluff-golden-lions-texas-state-bobcats-201408300185/
2014-08-30,Western Carolina,31,36,South Florida,http://sports.yahoo.com/ncaaf/western-carolina-catamounts-south-florida-bulls-201408301019/
2014-08-30,Bethune-Cookman,14,12,Florida Intl.,http://sports.yahoo.com/ncaaf/bethune-cookman-wildcats-fiu-golden-panthers-201408302307/
2014-08-30,S.F. Austin,16,55,Kansas St.,http://sports.yahoo.com/ncaaf/stephen-f-austin-lumberjacks-kansas-state-wildcats-201408300021/
2014-08-30,Fresno St.,13,52,USC,http://sports.yahoo.com/ncaaf/fresno-state-bulldogs-usc-trojans-201408300062/
2014-08-30,Southern Miss,0,49,Mississippi St.,http://sports.yahoo.com/ncaaf/southern-miss-golden-eagles-mississippi-state-bulldogs-201408300078/
2014-08-30,Florida St.,37,31,Oklahoma St.,http://sports.yahoo.com/ncaaf/florida-state-seminoles-oklahoma-state-cowboys-201408300025/
2014-08-30,North Texas,7,38,Texas,http://sports.yahoo.com/ncaaf/north-texas-mean-green-texas-longhorns-201408300083/
2014-08-30,UTEP,31,24,New Mexico,http://sports.yahoo.com/ncaaf/utep-miners-new-mexico-lobos-201408300092/
2014-08-30,N.C. Central,7,52,East Carolina,http://sports.yahoo.com/ncaaf/north-carolina-central-eagles-east-carolina-pirates-201408300099/
2014-08-30,Wisconsin,24,28,LSU,http://sports.yahoo.com/ncaaf/wisconsin-badgers-lsu-tigers-201408300076/
2014-08-30,South Dakota,13,62,Oregon,http://sports.yahoo.com/ncaaf/south-dakota-coyotes-oregon-ducks-201408300060/
2014-08-30,Washington,17,16,Hawaii,http://sports.yahoo.com/ncaaf/washington-huskies-hawaii-rainbow-warriors-201408300091/
2014-08-31,Utah St.,7,38,Tennessee,http://sports.yahoo.com/ncaaf/utah-state-aggies-tennessee-volunteers-201408310071/
2014-08-31,SMU,0,45,Baylor,http://sports.yahoo.com/ncaaf/smu-mustangs-baylor-bears-201408310079/
2014-09-01,Miami (FL),13,31,Louisville,http://sports.yahoo.com/ncaaf/miami-fl-hurricanes-louisville-cardinals-201409010100/
