date,away.team,away.score,home.score,home.team,url
2014-09-18,Auburn,20,14,Kansas St.,http://sports.yahoo.com/ncaaf/auburn-tigers-kansas-state-wildcats-201409180021/
2014-09-19,Connecticut,14,17,South Florida,http://sports.yahoo.com/ncaaf/connecticut-huskies-south-florida-bulls-201409191019/
2014-09-20,Iowa,24,20,Pittsburgh,http://sports.yahoo.com/ncaaf/iowa-hawkeyes-pittsburgh-panthers-201409200012/
2014-09-20,Georgia Tech,27,24,Virginia Tech,http://sports.yahoo.com/ncaaf/georgia-tech-yellow-jackets-virginia-tech-hokies-201409200016/
2014-09-20,East. Michigan,14,73,Michigan St.,http://sports.yahoo.com/ncaaf/eastern-michigan-eagles-michigan-state-spartans-201409200030/
2014-09-20,Western Ill.,7,24,Northwestern,http://sports.yahoo.com/ncaaf/western-illinois-leathernecks-northwestern-wildcats-201409200032/
2014-09-20,Southern Ill.,13,35,Purdue,http://sports.yahoo.com/ncaaf/southern-illinois-salukis-purdue-boilermakers-201409200035/
2014-09-20,Bowling Green,17,68,Wisconsin,http://sports.yahoo.com/ncaaf/bowling-green-falcons-wisconsin-badgers-201409200036/
2014-09-20,Troy,0,66,Georgia,http://sports.yahoo.com/ncaaf/troy-trojans-georgia-bulldogs-201409200068/
2014-09-20,Old Dominion,45,42,Rice,http://sports.yahoo.com/ncaaf/old-dominion-monarchs-rice-owls-201409200081/
2014-09-20,Tulane,13,47,Duke,http://sports.yahoo.com/ncaaf/tulane-green-wave-duke-blue-devils-201409200002/
2014-09-20,Maryland,34,20,Syracuse,http://sports.yahoo.com/ncaaf/maryland-terrapins-syracuse-orange-201409200014/
2014-09-20,Maine,10,40,Boston Coll.,http://sports.yahoo.com/ncaaf/maine-black-bears-boston-college-eagles-201409200010/
2014-09-20,Delaware St.,0,59,Temple,http://sports.yahoo.com/ncaaf/delaware-state-hornets-temple-owls-201409200015/
2014-09-20,Hawaii,12,21,Colorado,http://sports.yahoo.com/ncaaf/hawaii-rainbow-warriors-colorado-buffaloes-201409200018/
2014-09-20,Marshall,48,17,Akron,http://sports.yahoo.com/ncaaf/marshall-thundering-herd-akron-zips-201409200047/
