away.score,away.team,date,home.score,home.team,uid,url
6,UMass,2014-11-18,30,Akron,ncaaf.g.201411180047,http://sports.yahoo.com/ncaaf/massachusetts-minutemen-akron-zips-201411180047/
21,Northern Illinois,2014-11-18,14,Ohio,ncaaf.g.201411180054,http://sports.yahoo.com/ncaaf/northern-illinois-huskies-ohio-bobcats-201411180054/
20,Bowling Green,2014-11-19,27,Toledo,ncaaf.g.201411190055,http://sports.yahoo.com/ncaaf/bowling-green-falcons-toledo-rockets-201411190055/
0,Kent St.,2014-11-19,0,Buffalo,ncaaf.g.201411190208,http://sports.yahoo.com/ncaaf/kent-state-golden-flashes-buffalo-bulls-201411190208/
26,Kansas St.,2014-11-20,20,West Virginia,ncaaf.g.201411200017,http://sports.yahoo.com/ncaaf/kansas-state-wildcats-west-virginia-mountaineers-201411200017/
45,N. Carolina,2014-11-20,20,Duke,ncaaf.g.201411200002,http://sports.yahoo.com/ncaaf/north-carolina-tar-heels-duke-blue-devils-201411200002/
27,Arkansas St.,2014-11-20,45,Texas St.,ncaaf.g.201411200185,http://sports.yahoo.com/ncaaf/arkansas-state-red-wolves-texas-state-bobcats-201411200185/
13,UTEP,2014-11-21,31,Rice,ncaaf.g.201411210081,http://sports.yahoo.com/ncaaf/utep-miners-rice-owls-201411210081/
7,San Jose St.,2014-11-21,41,Utah St.,ncaaf.g.201411210046,http://sports.yahoo.com/ncaaf/san-jose-state-spartans-utah-state-aggies-201411210046/
14,Air Force,2014-11-21,30,S. Diego St.,ncaaf.g.201411210093,http://sports.yahoo.com/ncaaf/air-force-falcons-san-diego-state-aztecs-201411210093/
28,Minnesota,2014-11-22,24,Nebraska,ncaaf.g.201411220023,http://sports.yahoo.com/ncaaf/minnesota-golden-gophers-nebraska-cornhuskers-201411220023/
7,Kansas,2014-11-22,44,Oklahoma,ncaaf.g.201411220024,http://sports.yahoo.com/ncaaf/kansas-jayhawks-oklahoma-sooners-201411220024/
14,Penn St.,2014-11-22,16,Illinois,ncaaf.g.201411220026,http://sports.yahoo.com/ncaaf/penn-state-nittany-lions-illinois-fighting-illini-201411220026/
3,Rutgers,2014-11-22,45,Michigan St.,ncaaf.g.201411220030,http://sports.yahoo.com/ncaaf/rutgers-scarlet-knights-michigan-state-spartans-201411220030/
27,Indiana,2014-11-22,42,Ohio St.,ncaaf.g.201411220033,http://sports.yahoo.com/ncaaf/indiana-hoosiers-ohio-state-buckeyes-201411220033/
38,Northwestern,2014-11-22,14,Purdue,ncaaf.g.201411220035,http://sports.yahoo.com/ncaaf/northwestern-wildcats-purdue-boilermakers-201411220035/
3,E. Kentucky,2014-11-22,52,Florida,ncaaf.g.201411220067,http://sports.yahoo.com/ncaaf/eastern-kentucky-colonels-florida-gators-201411220067/
9,Charleston Sou.,2014-11-22,55,Georgia,ncaaf.g.201411220068,http://sports.yahoo.com/ncaaf/charleston-southern-buccaneers-georgia-bulldogs-201411220068/
12,South Alabama,2014-11-22,37,South Carolina,ncaaf.g.201411220070,http://sports.yahoo.com/ncaaf/south-alabama-jaguars-south-carolina-gamecocks-201411220070/
28,Tulsa,2014-11-22,38,Houston,ncaaf.g.201411220080,http://sports.yahoo.com/ncaaf/tulsa-golden-hurricane-houston-cougars-201411220080/
31,Fordham,2014-11-22,42,Army,ncaaf.g.201411220097,http://sports.yahoo.com/ncaaf/fordham-rams-army-black-knights-201411220097/
23,Marshall,2014-11-22,18,UAB,ncaaf.g.201411220207,http://sports.yahoo.com/ncaaf/marshall-thundering-herd-uab-blazers-201411220207/
7,SMU,2014-11-22,53,UCF,ncaaf.g.201411220210,http://sports.yahoo.com/ncaaf/smu-mustangs-ucf-knights-201411220210/
7,UTSA,2014-11-22,45,W. Kentucky,ncaaf.g.201411220224,http://sports.yahoo.com/ncaaf/utsa-roadrunners-western-kentucky-hilltoppers-201411220224/
3,Virginia Tech,2014-11-22,6,Wake Forest,ncaaf.g.201411220009,http://sports.yahoo.com/ncaaf/virginia-tech-hokies-wake-forest-demon-deacons-201411220009/
32,W. Michigan,2014-11-22,20,Cent. Michigan,ncaaf.g.201411220050,http://sports.yahoo.com/ncaaf/western-michigan-broncos-central-michigan-chippewas-201411220050/
31,Washington St.,2014-11-22,52,Arizona St.,ncaaf.g.201411220058,http://sports.yahoo.com/ncaaf/washington-state-cougars-arizona-state-sun-devils-201411220058/
27,Louisiana Tech,2014-11-22,30,Old Dominion,ncaaf.g.201411222371,http://sports.yahoo.com/ncaaf/louisiana-tech-bulldogs-old-dominion-monarchs-201411222371/
20,New Mexico,2014-11-22,58,Colorado St.,ncaaf.g.201411220089,http://sports.yahoo.com/ncaaf/new-mexico-lobos-colorado-state-rams-201411220089/
35,Appalachian St.,2014-11-22,16,La Lafayet.,ncaaf.g.201411220045,http://sports.yahoo.com/ncaaf/appalachian-state-mountaineers-louisiana-lafayette-ragin-cajuns-201411220045/
30,East. Michigan,2014-11-22,45,Ball St.,ncaaf.g.201411220048,http://sports.yahoo.com/ncaaf/eastern-michigan-eagles-ball-state-cardinals-201411220048/
0,Savannah St.,2014-11-22,64,BYU,ncaaf.g.201411220088,http://sports.yahoo.com/ncaaf/savannah-state-tigers-byu-cougars-201411220088/
