away.score,away.team,date,home.score,home.team,uid,url
24,BYU,2014-10-09,31,UCF,ncaaf.g.201410090210,http://sports.yahoo.com/ncaaf/byu-cougars-ucf-knights-201410090210/
17,Washington St.,2014-10-10,34,Stanford,ncaaf.g.201410100063,http://sports.yahoo.com/ncaaf/washington-state-cougars-stanford-cardinal-201410100063/
24,S. Diego St.,2014-10-10,14,New Mexico,ncaaf.g.201410100092,http://sports.yahoo.com/ncaaf/san-diego-state-aztecs-new-mexico-lobos-201410100092/
27,Fresno St.,2014-10-10,30,UNLV,ncaaf.g.201410100040,http://sports.yahoo.com/ncaaf/fresno-state-bulldogs-unlv-rebels-201410100040/
34,Cincinnati,2014-10-11,55,Miami (FL),ncaaf.g.201410110011,http://sports.yahoo.com/ncaaf/cincinnati-bearcats-miami-fl-hurricanes-201410110011/
38,Florida St.,2014-10-11,20,Syracuse,ncaaf.g.201410110014,http://sports.yahoo.com/ncaaf/florida-state-seminoles-syracuse-orange-201410110014/
24,Tulsa,2014-10-11,35,Temple,ncaaf.g.201410110015,http://sports.yahoo.com/ncaaf/tulsa-golden-hurricane-temple-owls-201410110015/
34,Georgia,2014-10-11,0,Missouri,ncaaf.g.201410110022,http://sports.yahoo.com/ncaaf/georgia-bulldogs-missouri-tigers-201410110022/
26,Texas,2014-10-11,31,Oklahoma,ncaaf.g.201410110024,http://sports.yahoo.com/ncaaf/texas-longhorns-oklahoma-sooners-201410110024/
29,Indiana,2014-10-11,45,Iowa,ncaaf.g.201410110028,http://sports.yahoo.com/ncaaf/indiana-hoosiers-iowa-hawkeyes-201410110028/
17,Northwestern,2014-10-11,24,Minnesota,ncaaf.g.201410110031,http://sports.yahoo.com/ncaaf/northwestern-wildcats-minnesota-golden-gophers-201410110031/
28,Illinois,2014-10-11,38,Wisconsin,ncaaf.g.201410110036,http://sports.yahoo.com/ncaaf/illinois-fighting-illini-wisconsin-badgers-201410110036/
14,LA Monroe,2014-10-11,48,Kentucky,ncaaf.g.201410110069,http://sports.yahoo.com/ncaaf/louisiana-monroe-warhawks-kentucky-wildcats-201410110069/
37,West Virginia,2014-10-11,34,Texas Tech,ncaaf.g.201410110086,http://sports.yahoo.com/ncaaf/west-virginia-mountaineers-texas-tech-red-raiders-201410110086/
41,Rice,2014-10-11,21,Army,ncaaf.g.201410110097,http://sports.yahoo.com/ncaaf/rice-owls-army-black-knights-201410110097/
24,Middle Tenn. St.,2014-10-11,49,Marshall,ncaaf.g.201410110176,http://sports.yahoo.com/ncaaf/middle-tennessee-blue-raiders-marshall-thundering-herd-201410110176/
31,Duke,2014-10-11,25,Georgia Tech,ncaaf.g.201410110004,http://sports.yahoo.com/ncaaf/duke-blue-devils-georgia-tech-yellow-jackets-201410110004/
27,Buffalo,2014-10-11,37,East. Michigan,ncaaf.g.201410110051,http://sports.yahoo.com/ncaaf/buffalo-bulls-eastern-michigan-eagles-201410110051/
19,Miami (OH),2014-10-11,29,Akron,ncaaf.g.201410110047,http://sports.yahoo.com/ncaaf/miami-oh-redhawks-akron-zips-201410110047/
40,UMass,2014-10-11,17,Kent St.,ncaaf.g.201410110052,http://sports.yahoo.com/ncaaf/massachusetts-minutemen-kent-state-golden-flashes-201410110052/
31,Bowling Green,2014-10-11,13,Ohio,ncaaf.g.201410110054,http://sports.yahoo.com/ncaaf/bowling-green-falcons-ohio-bobcats-201410110054/
